('/home/czile/work/壁纸库/728121.jpg', 63315312408852734) ('/home/czile/work/壁纸库/728862.jpg', 63315312543070460) 0.96875
('/home/czile/work/壁纸库/683002.jpg', 1085102592571150095) ('/home/czile/work/壁纸库/919162.jpg', 1085102592571150095) 1.0
('/home/czile/work/壁纸库/683002.jpg', 1085102592571150095) ('/home/czile/work/壁纸库/995525.jpg', 1085102583981215519) 0.96875
('/home/czile/work/壁纸库/683002.jpg', 1085102592571150095) ('/home/czile/work/壁纸库/862139.jpg', 1085102592571150095) 1.0
('/home/czile/work/壁纸库/683002.jpg', 1085102592571150095) ('/home/czile/work/壁纸库/947681.jpg', 1085102592571150095) 1.0
('/home/czile/work/壁纸库/683002.jpg', 1085102592571150095) ('/home/czile/work/壁纸库/881525.jpg', 1085102592571150095) 1.0
('/home/czile/work/壁纸库/683002.jpg', 1085102592571150095) ('/home/czile/work/壁纸库/eo7jl8.jpg', 1085102592571150095) 1.0
('/home/czile/work/壁纸库/683002.jpg', 1085102592571150095) ('/home/czile/work/壁纸库/871461.jpg', 1085102592571150095) 1.0
('/home/czile/work/壁纸库/683002.jpg', 1085102592571150095) ('/home/czile/work/壁纸库/928971.jpg', 1085102592571150095) 1.0
('/home/czile/work/壁纸库/683002.jpg', 1085102592571150095) ('/home/czile/work/壁纸库/834248.jpg', 1085102592571150095) 1.0
('/home/czile/work/壁纸库/683002.jpg', 1085102592571150095) ('/home/czile/work/壁纸库/865258.jpg', 508641840267726607) 0.984375
('/home/czile/work/壁纸库/683002.jpg', 1085102592571150095) ('/home/czile/work/壁纸库/758360.jpg', 1085102592571150087) 0.984375
('/home/czile/work/壁纸库/683002.jpg', 1085102592571150095) ('/home/czile/work/壁纸库/1038136.jpg', 1085102592571150095) 1.0
('/home/czile/work/壁纸库/683002.jpg', 1085102592571150095) ('/home/czile/work/壁纸库/733327.jpg', 508641840267726607) 0.984375
('/home/czile/work/壁纸库/683002.jpg', 1085102592571150095) ('/home/czile/work/壁纸库/930835.jpg', 1085137776943236879) 0.96875
('/home/czile/work/壁纸库/683002.jpg', 1085102592571150095) ('/home/czile/work/壁纸库/661319.jpg', 508641840267726623) 0.96875
('/home/czile/work/壁纸库/683002.jpg', 1085102592571150095) ('/home/czile/work/壁纸库/968172.jpg', 1085102592571150095) 1.0
('/home/czile/work/壁纸库/683002.jpg', 1085102592571150095) ('/home/czile/work/壁纸库/549451.jpg', 1085102592571150095) 1.0
('/home/czile/work/壁纸库/683002.jpg', 1085102592571150095) ('/home/czile/work/壁纸库/770857.jpg', 1089606192198520583) 0.96875
('/home/czile/work/壁纸库/683002.jpg', 1085102592571150095) ('/home/czile/work/壁纸库/733315.jpg', 1085102592571150095) 1.0
('/home/czile/work/壁纸库/683002.jpg', 1085102592571150095) ('/home/czile/work/壁纸库/833658.jpg', 1085102592570625823) 0.96875
('/home/czile/work/壁纸库/683002.jpg', 1085102592571150095) ('/home/czile/work/壁纸库/813247.jpg', 1085102592571150095) 1.0
('/home/czile/work/壁纸库/683002.jpg', 1085102592571150095) ('/home/czile/work/壁纸库/849554.jpg', 2238015301084974863) 0.96875
('/home/czile/work/壁纸库/683002.jpg', 1085102592571150095) ('/home/czile/work/壁纸库/813304.jpg', 1085102592571150095) 1.0
('/home/czile/work/壁纸库/683002.jpg', 1085102592571150095) ('/home/czile/work/壁纸库/1003443.jpg', 2238024097177997063) 0.96875
('/home/czile/work/壁纸库/683002.jpg', 1085102592571150095) ('/home/czile/work/壁纸库/758357.jpg', 1085102592571150095) 1.0
('/home/czile/work/壁纸库/683002.jpg', 1085102592571150095) ('/home/czile/work/壁纸库/837919.jpg', 1085102661290626823) 0.96875
('/home/czile/work/壁纸库/683002.jpg', 1085102592571150095) ('/home/czile/work/壁纸库/871463.jpg', 1085102661290626823) 0.96875
('/home/czile/work/壁纸库/683002.jpg', 1085102592571150095) ('/home/czile/work/壁纸库/677093.jpg', 544670637286690575) 0.96875
('/home/czile/work/壁纸库/683002.jpg', 1085102592571150095) ('/home/czile/work/壁纸库/824358.jpg', 1085102592571150095) 1.0
('/home/czile/work/壁纸库/683002.jpg', 1085102592571150095) ('/home/czile/work/壁纸库/832770.jpg', 1085102592571150095) 1.0
('/home/czile/work/壁纸库/683002.jpg', 1085102592571150095) ('/home/czile/work/壁纸库/914100.jpg', 1085102592571150095) 1.0
